Territorialidade;Posição IDHM;IDHM;Posição IDHM Renda;IDHM Renda;Posição IDHM Educação;IDHM Educação;Posição IDHM Longevidade;IDHM Longevidade
Distrito Federal;1;0,859;1;0,841;2;0,842;4;0,896
São Paulo;2;0,845;2;0,791;1;0,849;3;0,898
Santa Catarina;3;0,826;5;0,776;3;0,794;1;0,916
Rio de Janeiro;4;0,809;3;0,783;4;0,78;8;0,867
Paraná;5;0,807;6;0,764;5;0,779;7;0,882
Rio Grande do Sul;6;0,801;3;0,783;13;0,735;5;0,893
Minas Gerais;7;0,793;10;0,734;7;0,77;6;0,883
Espírito Santo;7;0,793;8;0,747;11;0,741;2;0,902
Mato Grosso;9;0,779;9;0,738;6;0,771;11;0,832
Mato Grosso do Sul;10;0,777;7;0,752;15;0,731;10;0,854
Goiás;11;0,774;11;0,729;7;0,77;15;0,827
Tocantins;12;0,751;14;0,693;10;0,747;17;0,818
Roraima;13;0,749;13;0,696;9;0,767;24;0,788
Ceará;14;0,744;18;0,677;12;0,74;16;0,823
Rio Grande do Norte;15;0,742;14;0,693;22;0,689;9;0,855
Pernambuco;16;0,74;17;0,68;18;0,718;12;0,831
Acre;17;0,739;21;0,668;16;0,728;13;0,83
Amapá;18;0,737;22;0,665;16;0,728;14;0,828
Rondônia;19;0,73;12;0,705;19;0,707;25;0,781
Amazonas;20;0,726;23;0,658;13;0,735;23;0,792
Bahia;21;0,718;19;0,673;24;0,672;17;0,818
Paraíba;22;0,713;20;0,672;25;0,66;19;0,816
Piauí;23;0,706;24;0,657;21;0,692;26;0,775
Sergipe;24;0,705;16;0,682;27;0,639;20;0,805
Pará;25;0,704;25;0,651;23;0,677;21;0,793
Maranhão;26;0,694;27;0,614;20;0,704;27;0,773
Alagoas;27;0,687;26;0,636;26;0,643;21;0,793
