UF,ANO_REF,POP
AC,2000,582172
AC,2001,600611
AC,2002,619261
AC,2003,637959
AC,2004,656312
AC,2005,674989
AC,2006,693719
AC,2007,712059
AC,2008,730523
AC,2009,748586
AC,2010,765325
AC,2011,778499
AC,2012,792045
AC,2013,805014
AC,2014,818273
AC,2015,831665
AC,2016,844137
AC,2017,856457
AC,2018,869265
AC,2019,881935
AC,2020,894470
AC,2021,906876
AL,2000,2888556
AL,2001,2927096
AL,2002,2964218
AL,2003,2999266
AL,2004,3031586
AL,2005,3062375
AL,2006,3092131
AL,2007,3119653
AL,2008,3146931
AL,2009,3172595
AL,2010,3196122
AL,2011,3214013
AL,2012,3231288
AL,2013,3247944
AL,2014,3263946
AL,2015,3279649
AL,2016,3294061
AL,2017,3307968
AL,2018,3322820
AL,2019,3337357
AL,2020,3351543
AL,2021,3365351
AM,2000,2868193
AM,2001,2939965
AM,2002,3008836
AM,2003,3075835
AM,2004,3140990
AM,2005,3207750
AM,2006,3276510
AM,2007,3345514
AM,2008,3415112
AM,2009,3485174
AM,2010,3553148
AM,2011,3618040
AM,2012,3684326
AM,2013,3751293
AM,2014,3819636
AM,2015,3887740
AM,2016,3952171
AM,2017,4015812
AM,2018,4080611
AM,2019,4144597
AM,2020,4207714
AM,2021,4269995
AP,2000,495193
AP,2001,515684
AP,2002,535914
AP,2003,556215
AP,2004,576205
AP,2005,595517
AP,2006,615079
AP,2007,634544
AP,2008,654211
AP,2009,674343
AP,2010,694261
AP,2011,711453
AP,2012,728015
AP,2013,744809
AP,2014,762156
AP,2015,779416
AP,2016,796419
AP,2017,813084
AP,2018,829494
AP,2019,845731
AP,2020,861773
AP,2021,877613
BA,2000,13387168
BA,2001,13511727
BA,2002,13625352
BA,2003,13733687
BA,2004,13834381
BA,2005,13927132
BA,2006,14010566
BA,2007,14086718
BA,2008,14162319
BA,2009,14235936
BA,2010,14302738
BA,2011,14373168
BA,2012,14441708
BA,2013,14505213
BA,2014,14565992
BA,2015,14629207
BA,2016,14689878
BA,2017,14750066
BA,2018,14812819
BA,2019,14873064
BA,2020,14930634
BA,2021,14985284
CE,2000,7624807
CE,2001,7742345
CE,2002,7853853
CE,2003,7958796
CE,2004,8057966
CE,2005,8156831
CE,2006,8255118
CE,2007,8349704
CE,2008,8443155
CE,2009,8534872
CE,2010,8623014
CE,2011,8680836
CE,2012,8737287
CE,2013,8791846
CE,2014,8846267
CE,2015,8904499
CE,2016,8962063
CE,2017,9017990
CE,2018,9075649
CE,2019,9132078
CE,2020,9187103
CE,2021,9240580
DF,2000,2090538
DF,2001,2147631
DF,2002,2203724
DF,2003,2259183
DF,2004,2314130
DF,2005,2369135
DF,2006,2424473
DF,2007,2478904
DF,2008,2533036
DF,2009,2587342
DF,2010,2641247
DF,2011,2683144
DF,2012,2724348
DF,2013,2765696
DF,2014,2808040
DF,2015,2850959
DF,2016,2892607
DF,2017,2933497
DF,2018,2974703
DF,2019,3015268
DF,2020,3055149
DF,2021,3094325
ES,2000,3173860
ES,2001,3221149
ES,2002,3265905
ES,2003,3309693
ES,2004,3352781
ES,2005,3394747
ES,2006,3435356
ES,2007,3474578
ES,2008,3514773
ES,2009,3555703
ES,2010,3596057
ES,2011,3642595
ES,2012,3689347
ES,2013,3736386
ES,2014,3784361
ES,2015,3832826
ES,2016,3879376
ES,2017,3925341
ES,2018,3972388
ES,2019,4018650
ES,2020,4064052
ES,2021,4108508
GO,2000,5139906
GO,2001,5243959
GO,2002,5347617
GO,2003,5449935
GO,2004,5549903
GO,2005,5648327
GO,2006,5744869
GO,2007,5837511
GO,2008,5929252
GO,2009,6020297
GO,2010,6109757
GO,2011,6212149
GO,2012,6314152
GO,2013,6415383
GO,2014,6518591
GO,2015,6623202
GO,2016,6723747
GO,2017,6822064
GO,2018,6921161
GO,2019,7018354
GO,2020,7113540
GO,2021,7206589
MA,2000,5835996
MA,2001,5929149
MA,2002,6015286
MA,2003,6108981
MA,2004,6204069
MA,2005,6297463
MA,2006,6389886
MA,2007,6477394
MA,2008,6561681
MA,2009,6639032
MA,2010,6710964
MA,2011,6757213
MA,2012,6798830
MA,2013,6836179
MA,2014,6875302
MA,2015,6916244
MA,2016,6955099
MA,2017,6994148
MA,2018,7035055
MA,2019,7075181
MA,2020,7114598
MA,2021,7153262
MG,2000,18351529
MG,2001,18560709
MG,2002,18750916
MG,2003,18928892
MG,2004,19097573
MG,2005,19258641
MG,2006,19411167
MG,2007,19551338
MG,2008,19689598
MG,2009,19826376
MG,2010,19957444
MG,2011,20096163
MG,2012,20235204
MG,2013,20371328
MG,2014,20508631
MG,2015,20648978
MG,2016,20780264
MG,2017,20908628
MG,2018,21040662
MG,2019,21168791
MG,2020,21292666
MG,2021,21411923
MS,2000,2132596
MS,2001,2170330
MS,2002,2206669
MS,2003,2243357
MS,2004,2280444
MS,2005,2317444
MS,2006,2353564
MS,2007,2387703
MS,2008,2422756
MS,2009,2459099
MS,2010,2494745
MS,2011,2525762
MS,2012,2557442
MS,2013,2589069
MS,2014,2621214
MS,2015,2653928
MS,2016,2685454
MS,2017,2716534
MS,2018,2748023
MS,2019,2778986
MS,2020,2809394
MS,2021,2839188
MT,2000,2570078
MT,2001,2624341
MT,2002,2677427
MT,2003,2730776
MT,2004,2785242
MT,2005,2841541
MT,2006,2897305
MT,2007,2950139
MT,2008,3002237
MT,2009,3055066
MT,2010,3106513
MT,2011,3145830
MT,2012,3185148
MT,2013,3226030
MT,2014,3269448
MT,2015,3314540
MT,2016,3356979
MT,2017,3398791
MT,2018,3441998
MT,2019,3484466
MT,2020,3526220
MT,2021,3567234
PA,2000,6371212
PA,2001,6517813
PA,2002,6661752
PA,2003,6804896
PA,2004,6947242
PA,2005,7087681
PA,2006,7228687
PA,2007,7367310
PA,2008,7504065
PA,2009,7637004
PA,2010,7762953
PA,2011,7862943
PA,2012,7960134
PA,2013,8054419
PA,2014,8149418
PA,2015,8244575
PA,2016,8334346
PA,2017,8422634
PA,2018,8513497
PA,2019,8602865
PA,2020,8690745
PA,2021,8777124
PB,2000,3528864
PB,2001,3567007
PB,2002,3603237
PB,2003,3637153
PB,2004,3669400
PB,2005,3701283
PB,2006,3732327
PB,2007,3760733
PB,2008,3788518
PB,2009,3815616
PB,2010,3840796
PB,2011,3859813
PB,2012,3875373
PB,2013,3890494
PB,2014,3910059
PB,2015,3932537
PB,2016,3953693
PB,2017,3974437
PB,2018,3996496
PB,2019,4018127
PB,2020,4039277
PB,2021,4059905
PE,2000,8116834
PE,2001,8218291
PE,2002,8313150
PE,2003,8405467
PE,2004,8495874
PE,2005,8584183
PE,2006,8671259
PE,2007,8754463
PE,2008,8837894
PE,2009,8921455
PE,2010,9000471
PE,2011,9061822
PE,2012,9126023
PE,2013,9189087
PE,2014,9252020
PE,2015,9317317
PE,2016,9376936
PE,2017,9434403
PE,2018,9496294
PE,2019,9557071
PE,2020,9616621
PE,2021,9674793
PI,2000,2923581
PI,2001,2961205
PI,2002,2995320
PI,2003,3024985
PI,2004,3052736
PI,2005,3080657
PI,2006,3107295
PI,2007,3131505
PI,2008,3153990
PI,2009,3174367
PI,2010,3193395
PI,2011,3203635
PI,2012,3213393
PI,2013,3221407
PI,2014,3229320
PI,2015,3238459
PI,2016,3246999
PI,2017,3255400
PI,2018,3264531
PI,2019,3273227
PI,2020,3281480
PI,2021,3289290
PR,2000,9773439
PR,2001,9884374
PR,2002,9985028
PR,2003,10077766
PR,2004,10164956
PR,2005,10252353
PR,2006,10337621
PR,2007,10416632
PR,2008,10494940
PR,2009,10574671
PR,2010,10653276
PR,2011,10738066
PR,2012,10822187
PR,2013,10908262
PR,2014,10997989
PR,2015,11089062
PR,2016,11176203
PR,2017,11261927
PR,2018,11348937
PR,2019,11433957
PR,2020,11516840
PR,2021,11597484
RJ,2000,14723882
RJ,2001,14908622
RJ,2002,15078818
RJ,2003,15241955
RJ,2004,15402965
RJ,2005,15558887
RJ,2006,15708629
RJ,2007,15854580
RJ,2008,16002537
RJ,2009,16153634
RJ,2010,16303188
RJ,2011,16405508
RJ,2012,16510627
RJ,2013,16616344
RJ,2014,16726184
RJ,2015,16841138
RJ,2016,16947738
RJ,2017,17051465
RJ,2018,17159960
RJ,2019,17264943
RJ,2020,17366189
RJ,2021,17463349
RN,2000,2853035
RN,2001,2896569
RN,2002,2937858
RN,2003,2977895
RN,2004,3016738
RN,2005,3056025
RN,2006,3094682
RN,2007,3130943
RN,2008,3167448
RN,2009,3204610
RN,2010,3239939
RN,2011,3271415
RN,2012,3302720
RN,2013,3332952
RN,2014,3363084
RN,2015,3393814
RN,2016,3422843
RN,2017,3450669
RN,2018,3479010
RN,2019,3506853
RN,2020,3534165
RN,2021,3560903
RO,2000,1409018
RO,2001,1432779
RO,2002,1454686
RO,2003,1474963
RO,2004,1494506
RO,2005,1513687
RO,2006,1532259
RO,2007,1549747
RO,2008,1566588
RO,2009,1582874
RO,2010,1598634
RO,2011,1618210
RO,2012,1637884
RO,2013,1657620
RO,2014,1677766
RO,2015,1698263
RO,2016,1717911
RO,2017,1737578
RO,2018,1757589
RO,2019,1777225
RO,2020,1796460
RO,2021,1815278
RR,2000,333356
RR,2001,345858
RR,2002,358071
RR,2003,370356
RR,2004,383083
RR,2005,395424
RR,2006,407693
RR,2007,420331
RR,2008,433189
RR,2009,446088
RR,2010,458820
RR,2011,469543
RR,2012,480290
RR,2013,491066
RR,2014,501970
RR,2015,513328
RR,2016,525967
RR,2017,546885
RR,2018,576568
RR,2019,605761
RR,2020,631181
RR,2021,652713
RS,2000,10374306
RS,2001,10457469
RS,2002,10527301
RS,2003,10588296
RS,2004,10646733
RS,2005,10703449
RS,2006,10753011
RS,2007,10794069
RS,2008,10833900
RS,2009,10875483
RS,2010,10914795
RS,2011,10963317
RS,2012,11014448
RS,2013,11066527
RS,2014,11119817
RS,2015,11175777
RS,2016,11229947
RS,2017,11280193
RS,2018,11329605
RS,2019,11377239
RS,2020,11422973
RS,2021,11466630
SC,2000,5483651
SC,2001,5577642
SC,2002,5666538
SC,2003,5753033
SC,2004,5839860
SC,2005,5927906
SC,2006,6014601
SC,2007,6098418
SC,2008,6182665
SC,2009,6268299
SC,2010,6353055
SC,2011,6441468
SC,2012,6530943
SC,2013,6620186
SC,2014,6710154
SC,2015,6802306
SC,2016,6894058
SC,2017,6984749
SC,2018,7075494
SC,2019,7164788
SC,2020,7252502
SC,2021,7338473
SE,2000,1831099
SE,2001,1862696
SE,2002,1891728
SE,2003,1920093
SE,2004,1947823
SE,2005,1975257
SE,2006,2003105
SE,2007,2030021
SE,2008,2056657
SE,2009,2083035
SE,2010,2108130
SE,2011,2130266
SE,2012,2152152
SE,2013,2173452
SE,2014,2194830
SE,2015,2216468
SE,2016,2236938
SE,2017,2257068
SE,2018,2278106
SE,2019,2298696
SE,2020,2318822
SE,2021,2338474
SP,2000,37712838
SP,2001,38230286
SP,2002,38714552
SP,2003,39179618
SP,2004,39639613
SP,2005,40097923
SP,2006,40543155
SP,2007,40974276
SP,2008,41411375
SP,2009,41857032
SP,2010,42298906
SP,2011,42707383
SP,2012,43119841
SP,2013,43528708
SP,2014,43937755
SP,2015,44356304
SP,2016,44760305
SP,2017,45149603
SP,2018,45538936
SP,2019,45919049
SP,2020,46289333
SP,2021,46649132
TO,2000,1190019
TO,2001,1213339
TO,2002,1236238
TO,2003,1259293
TO,2004,1281932
TO,2005,1304536
TO,2006,1327543
TO,2007,1349481
TO,2008,1370924
TO,2009,1392316
TO,2010,1412989
TO,2011,1431478
TO,2012,1449779
TO,2013,1467474
TO,2014,1485318
TO,2015,1503482
TO,2016,1520448
TO,2017,1537350
TO,2018,1555229
TO,2019,1572866
TO,2020,1590248
TO,2021,1607363
